s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000077	mesothelial cell	mesothelial	UBERON:0003336	serosa of duodenum	serosa	93
CL:0000077	mesothelial cell	mesothelial	UBERON:0003337	serosa of jejunum	serosa	260
CL:0000115	endothelial cell	endothelial	UBERON:0001213	intestinal villus	intestinal villus	229
CL:0000115	endothelial cell	endothelial	UBERON:0001213	intestinal villus	intestinal villus	312
CL:0000163	endocrine cell	endocrine lineage cell	UBERON:0008346	duodenal epithelium	Epithelium	59
CL:0000163	endocrine cell	endocrine	UBERON:0000400	jejunal epithelium	Epithelium	224
CL:0000187	muscle cell	muscle	UBERON:0016519	muscularis mucosae of jejunum	muscularis mucosa	247
CL:0000187	muscle cell	muscle	UBERON:0012377	muscle layer of jejunum	muscularis externa	253
CL:0000187	muscle cell	muscle	UBERON:0012377	muscle layer of jejunum	muscularis externa	259
CL:0000540	neuron	nerve	UBERON:8410064	submucous nerve plexus of small intestine	submucosal plexus of Meissner submucosal plexus (Meissners plexus, plexus of the submucosa, plexus submucosus)	84
CL:0000584	enterocyte	enterocyte	UBERON:0008346	duodenal epithelium	Epithelium	58
CL:0000584	enterocyte	enterocytes	UBERON:0001213	intestinal villus	intestinal villus	310
CL:0000682	M cell of gut	M cell	UBERON:0001213	intestinal villus	intestinal villus	234
CL:0000682	M cell of gut	M cell	UBERON:0001213	intestinal villus	intestinal villus	317
